date,text,user
2019-10-24 10:27:38+00:00,"interesting new education for sustainable development initiative being launched by @unesco, looking to engender debate on the kinds of education and learning we need to contribute to the global common good ",AndrewReeves44
2019-10-23 16:53:00+00:00,"""both the solidarity required by the global common good and millions of human lives are at stake. so is the very humanity we share with the displaced."" ",SistersofMercy
2019-10-22 13:31:24+00:00,"a5 to q5: 1) in the unesco re-thinking education towards a global common good paper, they note that: education is key to the global integrated framework of . therefore, access is not enough; there is need for a new focus quality.",danielsakpan
2019-10-13 17:44:39+00:00,"a world economy that is not regulated by justice in the light of the ""global common good"" harms poor nations and unfortunate individuals of rich nations, as well as the planet. the synod of amazonia listens to the voice of the peoples and the land that ask for global justice ",CasinaPioIV
2019-10-13 17:21:15+00:00,"the global common good the particular good of the individual or of a particular nation differ not only in respect of the ""many"" and the ""few,"" but also under a formal difference. the ""global common good"" differs from the ""particular good"", as the ""whole"" differs from the ""part"" ",CasinaPioIV
2019-10-09 19:16:04+00:00,"you really are insane. you know full well why that prosecutor had to go, per the wishes of the entire global common good.",RobinLWilliams
2019-10-03 18:16:54+00:00,"very well deserved shortlisting for @educateawards @stvincentsl12 @drjohnapatters1 - innovation in education, but also mission in education, a mission for the global common good. exceptional witness. @berniehollywood @sirkenrobinson @ciscschools @baldheadteacher",friel_raymond
2019-10-01 07:41:44+00:00," looking to 2050 and beyond, the @unesco initiative seeks to reimagine how and knowledge can contribute to the global common good. ",devaidnews
2019-09-30 10:13:11+00:00,@sebastientreyer recalling that “our is a global common good” at ,LPicourt
2019-09-30 04:29:19+00:00,politics is an art of compromise; i believe the same applies to the climate issue which under a serious debate on international stages. a right of economic development and the global common good. a balance has to strike between the two.,henrychanesq
2019-09-28 14:15:16+00:00, is paying gabon to protect its rainforest as a weapon against climate change — with consequential results @erna_solberg the rainforest is a global common good - we all have to contribute. we’ve only got one planet. we currently act like we’ve got one in reserve. ,borgebrende
2019-09-18 17:30:35+00:00,"so in that sense, brazil is technically correct saying it is an exclusive matter of sovereignty. do you then think frances (& the international communitys) outcry can be read as practice pointing towards recognizing forests a global common good, and protecting it accordingly?",bknussberger
